"unigram","bigram","freq"
"of","the",4708
"in","the",3750
"to","the",2066
"on","the",1839
"to","be",1548
"for","the",1443
"and","the",1362
"at","the",1213
"in","a",1083
"i","was",1063
"is","a",1048
"it","was",1043
"i","have",1029
"with","the",1014
"it","is",1003
"and","i",974
"from","the",944
"i","am",848
"one","of",816
"that","i",811
"with","a",803
"of","a",799
"for","a",784
"as","a",708
"is","the",708
"that","the",667
"will","be",643
"this","is",632
"if","you",622
"to","get",621
"have","to",591
"by","the",589
"going","to",583
"and","a",582
"but","i",578
"of","my",568
"to","do",567
"was","a",566
"i","had",552
"out","of",550
"a","few",543
"all","the",538
"you","can",529
"want","to",528
"have","a",522
"have","been",517
"the","same",515
"to","a",511
"on","a",504
"a","little",502
"the","first",500
"to","make",481
"when","i",480
"a","lot",478
"i","think",477
"i","dont",465
"as","the",464
"would","be",464
"they","are",463
"in","my",431
"he","was",422
"there","is",417
"that","is",410
"so","i",408
"to","have",399
"has","been",395
"to","see",393
"into","the",389
"there","are",387
"and","then",381
"is","not",377
"be","a",372
"i","can",371
"had","a",367
"the","world",366
"we","are",365
"about","the",359
"you","have",358
"all","of",353
"i","would",352
"as","i",349
"over","the",347
"more","than",346
"need","to",345
"you","are",337
"some","of",336
"the","most",332
"was","the",332
"able","to",331
"to","go",329
"i","will",323
"i","know",321
"part","of",321
"the","other",318
"can","be",317
"the","time",315
"as","well",312
"a","good",310
"and","it",308
"at","least",305
"is","that",305
"lot","of",304
"but","the",303
"the","way",302
"that","he",293
"we","have",289
"had","to",284
"that","you",284
"they","were",280
"back","to",279
"to","me",279
"i","could",278
"for","me",277
"i","love",275
"but","it",274
"in","this",274
"if","i",273
"a","bit",272
"a","new",272
"what","i",270
"that","it",263
"through","the",260
"that","we",259
"of","course",257
"the","last",255
"the","best",254
"trying","to",252
"and","that",250
"to","say",250
"of","his",249
"time","to",249
"me","to",248
"of","this",248
"which","is",248
"the","end",247
"up","to",246
"its","a",241
"to","take",239
"at","a",238
"he","is",238
"the","next",238
"kind","of",237
"like","a",236
"of","them",233
"to","my",233
"on","my",232
"the","new",229
"in","his",226
"a","great",225
"he","said",222
"im","not",221
"has","a",218
"that","they",217
"we","were",217
"i","just",216
"do","you",215
"how","to",215
"it","to",215
"wanted","to",215
"of","their",214
"you","know",214
"there","was",213
"i","do",211
"so","much",211
"that","was",211
"like","to",210
"a","couple",208
"from","a",207
"when","the",206
"she","was",203
"should","be",203
"would","have",201
"and","they",200
"up","the",199
"a","very",198
"of","our",198
"and","we",197
"do","not",197
"i","thought",197
"end","of",196
"i","didnt",196
"to","keep",194
"i","cant",193
"it","will",193
"it","would",193
"around","the",192
"the","only",192
"with","my",190
"most","of",189
"the","day",189
"in","our",188
"of","it",187
"to","find",187
"way","to",187
"be","the",186
"because","i",186
"into","a",186
"when","you",186
"had","been",185
"i","did",185
"well","as",185
"out","the",184
"for","my",182
"they","have",182
"up","and",181
"because","of",180
"like","the",180
"such","as",180
"have","the",179
"is","to",177
"are","the",176
"i","got",175
"by","a",173
"of","all",173
"try","to",173
"it","and",172
"new","york",172
"of","these",172
"couple","of",171
"in","their",170
"used","to",170
"you","want",170
"not","a",168
"and","my",165
"not","to",165
"so","that",164
"i","really",163
"it","has",163
"it","in",163
"know","that",163
"after","the",162
"and","his",162
"go","to",162
"of","her",162
"to","give",162
"and","in",161
"and","you",161
"did","not",161
"for","this",161
"you","will",161
"dont","know",159
"to","help",159
"is","an",158
"decided","to",157
"make","a",157
"my","life",157
"me","and",156
"of","us",156
"on","this",156
"when","we",156
"you","to",156
"the","past",155
"and","its",154
"are","not",154
"we","had",154
"what","is",154
"you","dont",154
"i","want",153
"the","story",153
"when","he",153
"during","the",152
"in","an",152
"of","your",152
"and","to",151
"be","able",151
"could","be",151
"of","those",151
"get","a",150
"that","she",150
"there","were",150
"up","with",150
"are","a",149
"look","at",149
"to","use",149
"according","to",147
"and","he",147
"off","the",147
"see","the",147
"the","people",147
"he","has",146
"i","hope",146
"if","the",146
"in","fact",146
"ive","been",146
"of","that",146
"so","many",146
"the","fact",146
"to","work",146
"get","to",145
"this","year",145
"we","can",145
"as","it",144
"he","had",144
"is","in",144
"than","the",144
"time","i",144
"was","in",144
"at","all",143
"enough","to",143
"people","who",143
"who","are",143
"in","your",142
"its","not",142
"of","you",142
"the","one",142
"their","own",142
"fact","that",140
"just","a",140
"she","is",140
"and","other",139
"this","was",139
"and","not",138
"such","a",138
"the","top",138
"this","week",138
"was","not",138
"not","only",137
"the","right",137
"know","what",136
"may","be",136
"when","it",136
"in","and",135
"in","which",135
"the","house",134
"them","to",134
"it","all",133
"not","be",133
"to","know",133
"to","this",133
"and","is",132
"bit","of",132
"if","they",132
"to","her",132
"and","she",131
"does","not",131
"a","big",130
"a","small",130
"for","you",130
"i","used",130
"is","no",130
"the","rest",130
"each","other",129
"many","of",129
"my","own",129
"that","a",129
"and","was",128
"number","of",128
"that","this",128
"the","book",128
"a","year",127
"about","it",127
"i","feel",126
"i","wanted",126
"is","one",126
"out","to",126
"went","to",126
"do","it",125
"i","also",125
"the","two",125
"the","whole",125
"as","we",124
"then","i",124
"to","come",124
"to","his",124
"up","in",124
"when","they",124
"with","his",124
"instead","of",123
"that","are",123
"what","you",123
"with","me",123
"lots","of",122
"not","the",122
"thank","you",122
"as","they",121
"dont","have",121
"even","though",121
"last","week",121
"been","a",120
"make","it",120
"me","i",120
"that","will",120
"and","all",119
"back","in",119
"of","people",119
"on","his",119
"right","now",119
"say","that",119
"after","a",118
"said","the",118
"we","will",118
"how","much",117
"will","have",117
"with","her",117
"and","what",116
"to","put",116
"down","the",115
"in","order",115
"than","a",115
"to","create",115
"up","a",115
"along","with",114
"and","have",114
"before","the",114
"due","to",114
"if","it",114
"might","be",114
"so","we",114
"sort","of",114
"the","us",114
"this","time",114
"years","ago",114
"him","to",113
"of","what",113
"was","so",113
"which","i",113
"about","a",112
"i","decided",112
"is","just",112
"what","the",112
"and","more",111
"and","so",111
"i","like",111
"i","made",111
"i","need",111
"last","year",111
"rather","than",111
"where","the",111
"take","a",110
"that","would",110
"under","the",110
"with","an",110
"a","long",109
"because","it",109
"is","so",109
"out","and",109
"even","if",108
"got","to",108
"had","the",108
"those","who",108
"and","if",107
"as","an",107
"as","much",107
"i","went",107
"or","a",107
"the","country",107
"this","one",107
"to","try",107
"us","to",107
"get","the",106
"is","also",106
"it","a",106
"my","favorite",106
"that","my",106
"think","that",106
"too","much",106
"you","think",106
"based","on",105
"from","my",105
"i","found",105
"if","we",105
"in","that",105
"to","think",105
"to","write",105
"amount","of",104
"first","time",104
"it","i",104
"the","city",104
"who","is",104
"i","knew",103
"in","her",103
"the","second",103
"with","some",103
"across","the",102
"as","he",102
"rest","of",102
"to","our",102
"feel","like",101
"no","one",101
"of","an",101
"the","state",101
"they","had",101
"to","your",101
"and","this",100
"be","in",100
"because","they",100
"but","its",100
"is","going",100
"she","had",100
"them","and",100
"to","play",100
"where","i",100
"for","her",99
"having","a",99
"i","guess",99
"side","of",99
"to","you",99
"up","on",99
"a","day",98
"for","our",98
"think","of",98
"and","even",97
"and","im",97
"as","you",97
