"unigram","bigram","trigram","quadgram","freq"
"the","end","of","the",86
"at","the","end","of",71
"for","the","first","time",52
"the","rest","of","the",52
"at","the","same","time",50
"one","of","the","most",47
"is","one","of","the",46
"when","it","comes","to",45
"in","the","middle","of",40
"to","be","able","to",40
"a","bit","of","a",34
"is","going","to","be",33
"as","well","as","the",31
"in","the","united","states",31
"i","was","going","to",29
"i","would","like","to",28
"one","of","my","favorite",28
"if","you","want","to",27
"was","one","of","the",27
"the","back","of","the",25
"the","middle","of","the",25
"as","much","as","i",23
"going","to","be","a",23
"on","the","other","hand",23
"one","of","the","best",23
"bmw","service","center","california",22
"the","bmw","service","center",22
"for","the","rest","of",21
"i","dont","know","if",21
"the","top","of","the",21
"what","do","you","think",21
"a","little","bit","of",20
"by","the","end","of",20
"i","was","able","to",20
"the","name","of","the",20
"i","am","not","a",19
"i","dont","know","what",19
"in","front","of","the",19
"the","fact","that","i",19
"there","are","so","many",19
"you","dont","have","to",19
"a","lot","of","people",18
"i","dont","want","to",18
"im","not","going","to",18
"in","the","form","of",18
"nothing","to","do","with",18
"the","bottom","of","the",18
"was","going","to","be",18
"as","one","of","the",17
"end","of","the","day",17
"for","those","of","you",17
"from","time","to","time",17
"i","dont","know","how",17
"i","have","to","say",17
"it","was","a","good",17
"a","member","of","the",16
"i","am","going","to",16
"in","the","first","place",16
"in","the","midst","of",16
"most","of","the","time",16
"not","be","able","to",16
"on","the","other","side",16
"so","i","decided","to",16
"a","few","weeks","ago",15
"be","one","of","the",15
"i","didnt","want","to",15
"i","have","no","idea",15
"in","a","way","that",15
"is","one","of","my",15
"some","of","the","most",15
"to","do","with","the",15
"to","go","to","the",15
"will","be","able","to",15
"a","lot","of","the",14
"in","one","of","the",14
"the","beginning","of","the",14
"the","fact","that","the",14
"the","heart","of","the",14
"to","go","back","to",14
"a","lot","of","time",13
"a","part","of","the",13
"all","of","a","sudden",13
"are","going","to","be",13
"at","the","age","of",13
"at","the","beginning","of",13
"at","the","top","of",13
"at","the","very","least",13
"figure","out","how","to",13
"for","a","couple","of",13
"going","to","have","to",13
"i","cant","wait","to",13
"i","thought","i","would",13
"it","would","be","a",13
"on","the","back","of",13
"the","center","of","the",13
"the","first","time","in",13
"the","manhattan","kansas","motels",13
"the","rest","of","us",13
"there","are","a","few",13
"there","will","be","a",13
"to","get","rid","of",13
"to","get","to","the",13
"to","give","it","a",13
"turned","out","to","be",13
"a","great","way","to",12
"all","over","the","world",12
"are","a","lot","of",12
"as","a","result","of",12
"for","the","most","part",12
"here","are","a","few",12
"i","was","a","little",12
"i","would","love","to",12
"if","you","have","a",12
"in","addition","to","the",12
"in","the","back","of",12
"in","the","same","way",12
"not","going","to","be",12
"one","of","my","favourite",12
"the","last","couple","of",12
"the","other","side","of",12
"the","size","of","the",12
"the","start","of","the",12
"the","united","states","and",12
"there","are","a","lot",12
"those","of","you","who",12
"to","get","out","of",12
"to","the","end","of",12
"you","have","to","do",12
"a","few","years","ago",11
"and","a","lot","of",11
"as","part","of","the",11
"as","soon","as","i",11
"at","the","bottom","of",11
"at","this","point","i",11
"for","the","sake","of",11
"have","a","lot","of",11
"if","you","have","any",11
"im","going","to","be",11
"in","and","out","of",11
"in","my","life","i",11
"in","new","york","city",11
"in","the","early","s",11
"in","the","face","of",11
"it","would","have","been",11
"on","a","daily","basis",11
"one","of","the","more",11
"out","of","the","way",11
"take","the","time","to",11
"the","front","of","the",11
"the","new","york","times",11
"the","story","of","the",11
"this","is","one","of",11
"thought","it","would","be",11
"to","be","one","of",11
"to","say","the","least",11
"to","share","with","you",11
"when","i","was","a",11
"a","couple","of","times",10
"a","couple","of","weeks",10
"a","few","months","ago",10
"a","lot","of","fun",10
"at","the","university","of",10
"decided","to","make","a",10
"dont","want","to","be",10
"find","a","way","to",10
"had","a","lot","of",10
"have","a","hard","time",10
"have","to","do","is",10
"i","have","to","admit",10
"i","think","it","was",10
"i","want","to","be",10
"i","wanted","to","do",10
"i","was","in","the",10
"if","you","are","a",10
"if","you","would","like",10
"in","front","of","a",10
"in","the","center","of",10
"in","the","name","of",10
"is","that","it","is",10
"its","going","to","be",10
"lots","and","lots","of",10
"may","or","may","not",10
"north","dakota","home","school",10
"of","the","united","states",10
"on","top","of","the",10
"one","of","the","few",10
"one","of","the","first",10
"one","of","the","reasons",10
"one","of","the","worlds",10
"some","of","the","best",10
"that","i","am","not",10
"that","there","is","no",10
"the","first","time","i",10
"the","good","news","is",10
"the","north","dakota","home",10
"the","power","of","the",10
"the","side","of","the",10
"there","is","so","much",10
"those","of","us","who",10
"to","figure","out","how",10
"when","i","was","in",10
"you","dont","want","to",10
"you","have","to","be",10
"you","would","like","to",10
"and","the","rest","of",9
"as","part","of","a",9
"as","well","as","a",9
"as","you","can","see",9
"at","the","start","of",9
"but","i","dont","think",9
"but","it","is","a",9
"by","the","time","i",9
"do","you","want","to",9
"for","some","reason","i",9
"from","all","over","the",9
"go","back","to","the",9
"has","nothing","to","do",9
"i","dont","have","the",9
"i","dont","know","why",9
"i","really","wanted","to",9
"i","thought","it","would",9
"i","want","to","do",9
"i","want","to","see",9
"i","wish","i","had",9
"in","the","near","future",9
"in","the","s","and",9
"is","the","fact","that",9
"it","is","hard","to",9
"it","was","going","to",9
"it","was","just","a",9
"might","be","able","to",9
"of","one","of","the",9
"of","the","th","century",9
"on","the","way","to",9
"once","in","a","while",9
"over","and","over","again",9
"over","the","past","few",9
"quite","a","bit","of",9
"so","that","you","can",9
"that","you","have","to",9
"the","edge","of","the",9
"the","head","of","the",9
"the","middle","of","a",9
"the","rest","of","my",9
"this","is","what","i",9
"to","be","in","the",9
"to","be","part","of",9
"to","find","out","what",9
"we","are","going","to",9
"we","went","to","the",9
"what","i","want","to",9
"with","a","bit","of",9
"with","a","lot","of",9
"you","just","have","to",9
"you","want","to","be",9
"a","couple","of","years",8
"a","few","of","the",8
"a","friend","of","mine",8
"and","i","had","a",8
"and","one","of","the",8
"at","the","back","of",8
"at","the","heart","of",8
"back","in","the","day",8
"for","a","lot","of",8
"for","a","while","and",8
"for","all","of","the",8
"for","as","long","as",8
"for","quite","some","time",8
"from","around","the","world",8
"have","been","able","to",8
"have","no","idea","what",8
"have","to","say","that",8
"i","am","trying","to",8
"i","decided","to","make",8
"i","feel","like","i",8
"i","felt","like","i",8
"i","have","to","go",8
"i","have","yet","to",8
"i","just","had","to",8
"i","just","wanted","to",8
"i","think","it","is",8
"i","think","it","would",8
"i","thought","it","was",8
"i","was","a","kid",8
"if","there","is","a",8
"if","you","do","not",8
"if","you","dont","have",8
"if","youre","going","to",8
"in","a","bit","of",8
"in","a","long","time",8
