"unigram","bigram","trigram","freq"
"one","of","the",378
"a","lot","of",293
"as","well","as",180
"some","of","the",166
"out","of","the",161
"the","end","of",161
"be","able","to",150
"going","to","be",143
"to","be","a",143
"a","couple","of",139
"it","was","a",139
"part","of","the",139
"the","fact","that",128
"one","of","my",117
"there","is","a",116
"i","have","to",113
"i","dont","know",111
"i","have","a",110
"this","is","a",110
"i","want","to",109
"all","of","the",104
"end","of","the",102
"the","rest","of",102
"this","is","the",101
"it","is","a",99
"you","want","to",94
"i","have","been",93
"in","order","to",92
"it","would","be",92
"a","bit","of",91
"the","first","time",91
"most","of","the",90
"i","wanted","to",89
"is","one","of",88
"if","you","are",86
"i","had","to",85
"back","to","the",83
"i","am","not",82
"there","is","no",82
"in","front","of",79
"is","going","to",79
"at","the","end",78
"im","going","to",78
"the","united","states",78
"you","have","to",77
"when","i","was",76
"i","had","a",75
"i","decided","to",74
"it","was","the",74
"of","the","most",74
"i","need","to",72
"in","the","world",71
"to","make","a",70
"was","going","to",70
"it","is","not",67
"it","will","be",67
"to","have","a",67
"at","the","time",66
"for","the","first",66
"to","be","the",66
"a","little","bit",65
"and","i","was",64
"as","much","as",64
"that","i","am",64
"that","i","have",64
"i","dont","think",63
"if","you","have",63
"in","the","first",63
"i","think","i",62
"one","of","those",62
"to","do","with",62
"at","the","same",61
"in","the","past",59
"to","get","a",59
"and","it","was",58
"of","the","world",58
"that","i","was",58
"in","the","same",57
"that","it","is",57
"dont","want","to",56
"that","it","was",56
"to","see","the",56
"as","long","as",55
"i","was","a",55
"in","my","life",55
"the","middle","of",55
"there","will","be",55
"in","the","middle",54
"the","same","time",54
"there","was","a",54
"but","it","was",53
"of","the","day",53
"side","of","the",53
"to","go","to",53
"to","make","it",53
"to","say","that",53
"would","like","to",53
"because","of","the",52
"rest","of","the",52
"want","to","be",52
"you","have","a",52
"but","it","is",51
"it","in","the",51
"and","i","am",50
"and","i","have",50
"i","think","it",50
"i","will","be",50
"if","you","dont",50
"look","at","the",50
"not","going","to",50
"when","it","comes",50
"you","can","see",50
"in","the","s",49
"members","of","the",49
"to","make","the",49
"will","have","to",49
"more","than","a",48
"a","group","of",47
"a","number","of",47
"according","to","the",47
"have","to","be",47
"i","am","a",47
"i","went","to",47
"i","would","have",47
"the","top","of",47
"would","be","a",47
"you","need","to",47
"back","in","the",46
"for","me","to",46
"i","have","no",46
"if","you","want",46
"it","comes","to",46
"it","is","the",46
"on","the","other",46
"to","be","in",46
"was","one","of",46
"are","going","to",45
"do","you","think",45
"i","was","in",45
"many","of","the",45
"the","idea","of",45
"go","to","the",44
"the","back","of",44
"there","was","no",44
"to","get","the",44
"what","do","you",44
"but","i","think",43
"for","a","while",43
"i","know","that",43
"in","terms","of",43
"the","time","to",43
"to","do","so",43
"to","get","to",43
"i","used","to",42
"is","in","the",42
"as","far","as",41
"at","the","moment",41
"here","are","some",41
"that","i","had",41
"up","to","the",41
"will","be","a",41
"would","have","been",41
"around","the","world",40
"but","i","have",40
"have","to","do",40
"in","the","last",40
"of","my","favorite",40
"there","are","a",40
"to","be","able",40
"to","do","it",40
"was","able","to",40
"a","part","of",39
"dont","have","to",39
"in","the","end",39
"is","not","a",39
"need","to","be",39
"that","they","are",39
"that","would","be",39
"to","create","a",39
"to","make","sure",39
"we","had","a",39
"a","pair","of",38
"all","over","the",38
"i","like","to",38
"in","new","york",38
"looking","forward","to",38
"of","the","year",38
"over","the","years",38
"that","i","would",38
"to","find","a",38
"up","on","the",38
"all","the","time",37
"and","it","is",37
"at","a","time",37
"bit","of","a",37
"by","the","time",37
"i","dont","have",37
"i","know","i",37
"im","not","sure",37
"of","all","the",37
"of","the","best",37
"of","the","new",37
"of","the","time",37
"that","you","can",37
"the","new","york",37
"the","number","of",37
"we","need","to",37
"didnt","want","to",36
"i","do","not",36
"i","think","that",36
"i","thought","i",36
"it","to","the",36
"one","of","them",36
"that","he","was",36
"the","opportunity","to",36
"to","try","to",36
"all","of","them",35
"at","this","point",35
"for","the","next",35
"i","was","going",35
"much","of","the",35
"we","have","to",35
"a","variety","of",34
"all","the","way",34
"and","of","course",34
"i","did","not",34
"i","feel","like",34
"i","would","like",34
"part","of","a",34
"that","is","the",34
"the","name","of",34
"the","next","day",34
"a","chance","to",33
"a","few","years",33
